央视频道,#genre#
贝爷壹厅,http://mmitv.top/test/douyu.php?id=252802
贝爷贰厅,http://mmitv.top/test/douyu.php?id=4332
贝爷叁厅,http://mmitv.top/test/douyu.php?id=36337
云宝影院,http://mmitv.top/test/douyu.php?id=7305938
花卷影院,http://mmitv.top/test/douyu.php?id=52787
菜园小饼,http://mmitv.top/test/douyu.php?id=1735337
橙記港剧,http://mmitv.top/test/douyu.php?id=4549169
大宝影视,http://mmitv.top/test/douyu.php?id=805235
蚂蚱影视,http://mmitv.top/test/douyu.php?id=6079455
怡寶影视,http://mmitv.top/test/douyu.php?id=434971
圆子影视,http://mmitv.top/test/douyu.php?id=6566658
贝贝影视,http://mmitv.top/test/douyu.php?id=431460
可乐影视,http://mmitv.top/test/douyu.php?id=20415
下饭神剧,http://mmitv.top/test/douyu.php?id=276200
古装神剧,http://mmitv.top/test/douyu.php?id=338759
晚湾影视,http://mmitv.top/test/douyu.php?id=9461178
酒染影视,http://mmitv.top/test/douyu.php?id=7550220
芊珏影视,http://mmitv.top/test/douyu.php?id=8814650

港澳台,#genre#
翡翠台,http://r.jdshipin.com/qClQf
翡翠台,http://113.64.147.60:8081/hls/67/index.m3u8
翡翠台,http://113.64.147.152:8081/hls/67/index.m3u8
翡翠台,http://r.jdshipin.com/n90gt
翡翠台,http://113.117.74.20:8081/hls/25/index.m3u8

明珠台,http://r.jdshipin.com/ZQ4kN

凤凰资讯台,http://r.jdshipin.com/0Rp07
凤凰资讯台,http://kkwk1122.top/fh.php?id=fhzx
凤凰资讯台,http://113.64.147.60:8081/hls/36/index.m3u8

凤凰中文台,http://kkwk1122.top/fh.php?id=fhzw
凤凰中文台,http://113.64.147.60:8081/hls/37/index.m3u8
凤凰中文台,http://113.64.147.152:8081/hls/37/index.m3u8

凤凰香港台,http://kkwk1122.top/fh.php?id=fhhk
凤凰香港台,http://113.117.74.12:8081/hls/38/index.m3u8
凤凰香港台,http://113.64.147.60:8081/hls/38/index.m3u8
凤凰香港台,http://113.64.147.152:8081/hls/38/index.m3u8

TVB星河,http://r.jdshipin.com/sXuuD
TVB星河,http://113.64.147.60:8081/hls/135/index.m3u8
TVB星河,http://113.117.74.12:8081/hls/135/index.m3u8

台视,http://162.19.247.76:22222/live/taishi/index.m3u8

中视,http://162.19.247.76:22222/live/zhongshi/index.m3u8

华视,http://162.19.247.76:22222/live/huashi/index.m3u8

番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8

面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8

香港32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8

J2,http://r.jdshipin.com/Nr5jq
J2,http://r.jdshipin.com/ndGgS

TVBRICS,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8

澳門蓮花,https://p.ggiptv.com/v/macaulotustv.php
澳門蓮花,http://anren.live/HK/BiIOU11uLA.m3u8

中天娱乐,http://162.19.247.76:22222/live/ztyl/index.m3u8

中天亚洲,http://162.19.247.76:22222/live/ztyz/index.m3u8

环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8

耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-mobile/playlist.m3u8

少儿频道,#genre#
金鹰卡通,https://live.goodiptv.club/api/cqyx.php?id=jinyingSD
金鹰卡通,http://223.151.51.27:85/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0

浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel08/1080p.m3u8?k=1a7559a51eeb880b021619a07f463ac4&t=1577153787
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel08/1080p.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8

青春动漫,https://live.v1.mk/api/bestv.php?id=qcdm8m/8000000

卡酷少儿,https://live.v1.mk/api/bestv.php?id=kkse8m/8000000

动漫秀场,https://live.v1.mk/api/bestv.php?id=dmxc8m/8000000

亚洲频道,#genre#
新加坡,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
新加坡,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
